Project,Task,Crew,Start Date,Duration,End Date,Day Completed,Completion PCT,
Rival,Cut roof penetrations for Loring / SF,All,6/5/24,2,6/7/24,0,0.00%,need to order additional piping 
Rival,Ship MPE grinder,All,6/10/24,1,6/11/24,0,0.00%,
Rival,Ship Weigh Right,All,6/10/24,1,6/11/24,0,0.00%,
Rival,Ship Loring Outlet,All,4/22/24,1,4/25/24,1,100.00%,
White,Remove equipment at Masimo Zannetti,Big Joe,4/23/24,3,4/24/24,3,100.00%,
Rival,Install Mixer with Pneucon,All,6/12/24,1,6/13/24,0,0.00%,
Rival,Install Loring Outlet,All,6/3/24,2,6/5/24,0,0.00%,
Rival,Install General Pack + Pneucon,All,6/10/24,2,6/14/24,0,0.00%,
Rival,Install MPE Grinder + Pneucon,All,6/12/24,2,6/14/24,0,0.00%,
Rival,Install Weigh Right + Pneucon,All,6/12/24,2,6/14/24,0,0.00%,
Rival,Install Plumbing for Loring,Sub,4/25/24,2,4/26/24,2,100.00%,
Rival, Install Torch Booster + Tie in Gas for Loring,Sub,6/12/24,1,6/14/24,0,0.00%,
Rival,GB System - Run Electric and Compressed Air ,All,4/25/24,1,4/26/24,1,100.00%,
Rival,GB System - Tie in Compressed Air and connections,sub,4/25/24,1,4/26/24,1,100.00%,
Rival,Dan Bajo Buildout -  Framing,Sub,4/22/24,5,4/26/24,5,100.00%,
Rival,Dan Bajo Buildout -  Framing,Sub,5/6/24,5,5/10/24,2,40.00%,
Rival,Gb system - Wire Chainvey,All,4/22/24,5,4/29/24,5,100.00%,
Rival,Jacob Tubing,All,5/20/24,2,5/21/24,0,0.00%,
Rival,Start up Loring,All,6/10/24,5,6/14/24,0,0.00%,
Cadillac,Shop Work Week 1,Big Joe,6/3/24,5,6/7/24,0,0.00%,
White,Decommision Roaster 1,Big Joe,4/26/24,5,4/26/24,5,100.00%,
Rival,Dan Bajo Buildout - Plumbing week 1,Sub,4/29/24,5,5/3/24,0,0.00%,
Rival,Dan Bajo Buildout - Plumbing week 2,Sub,5/6/24,5,5/10/24,0,0.00%,
Rival,Dan Bajo Buildout - Sheetrock week 1,Sub,5/20/24,5,5/24/24,0,0.00%,
Rival,Dan Bajo Buildout - Sheetrock week 2,Sub,5/27/24,5,5/31/24,0,0.00%,
Rival,Relocate SF roaster,All,6/17/24,5,6/21/24,0,0.00%,
Cadillac,Shop Work Week 2,Big Joe,6/10/24,5,6/14/24,0,0.00%,
Stack Street,feed system for k cup - spiroflow,Sebastian,5/21/24,3,5/23/24,0,0.00%,
Rival,GB system - load and transport bins,Big Joe,6/15/24,2,6/16/24,0,0.00%,
Rival,GB system - Recieve + Install Bins,All,6/24/24,2,6/28/24,0,0.00%,
Coffee Holding,Green Bean Supersac feed to Lilla,JRD,9/1/24,14,9/14/24,0,0.00%,
Coffee Holding,additional 3 lb filler,Adam,9/1/24,3,9/14/24,0,0.00%,
Coffee Holding,upgrade GB system,JRD,9/1/24,10,9/14/24,0,0.00%,
Stack Street,Grinder Installation,Big Joe,7/1/24,10,7/14/24,0,0.00%,
Stack Street,Organize warehouse and transport roaster,JRD,7/8/24,5,7/12/24,0,0.00%,
Rival,Dan Bajo Buildout - Electric week 1,Sub,6/10/24,5,6/14/24,0,0.00%,
Rival,Dan Bajo Buildout - Electric week 2,Sub,6/17/24,5,6/21/24,0,0.00%,
Rival,Dan Bajo Buildout - HVAC,Sub,6/17/24,5,6/21/24,0,0.00%,
Cadillac,Shop Work Week 3,Big Joe,6/17/24,5,6/21/24,0,0.00%,
Rival,GB system - Controls,All,6/24/24,4,6/28/24,0,0.00%,
Rival,Install Chainvey,All,5/6/24,5,5/8/24,5,100.00%,
Cadillac,Ship to Cadillac,Sub,8/1/24,4,8/6/24,0,0.00%,
Stack Street,Afterburner + GB platform ?,Big Joe,7/1/24,4,7/5/24,0,0.00%,
Rival,Start up GB system,All,6/24/24,5,6/28/24,0,0.00%,
White,Roaster 2 - Start Up,Sebastian,6/10/24,1,6/11/24,0,0.00%,
White,afterburner - engineering,Sebastian,5/27/24,2,5/28/24,2,100.00%,
White,afterburner - Steel,Big Joe,7/15/24,5,7/19/24,0,0.00%,
White,afterburner - Plumbing,Big Joe,7/15/24,5,7/19/24,0,0.00%,
White,afterburner - Gas and utilities ,Big Joe,7/15/24,5,7/19/24,0,0.00%,
White,afterburner - Roofing,Big Joe,7/15/24,5,7/19/24,0,0.00%,
Stack Street,Roaster Installation,Big Joe,8/12/24,9,8/19/24,0,0.00%,
Stack Street,New Packing Machine Install,JRD,8/12/24,5,8/16/24,0,0.00%,
Cadillac,Install Frames @ Cadillac,Adam,9/1/24,2,9/6/24,0,0.00%,
Cadillac,Install Roaster + Chainvey,All,9/1/24,6,9/15/24,0,0.00%,
Cadillac,Start up Roaster + Chainvey,Sebastian,9/1/24,5,9/15/24,0,0.00%,
Cadillac,Rebuild Existing Roaser,JRD,9/1/24,14,9/15/24,0,0.00%,
Duane,Sebastian Off,Sebastian,5/2/24,2,5/3/24,2,100.00%,
Duane,Big Joe Off,Big Joe,4/16/24,2,4/17/24,2,100.00%,
Duane,Big Joe Off,Big Joe,4/26/24,3,4/28/24,3,100.00%,
White,Maintenance,Big Joe,4/29/24,14,5/10/24,14,100.00%,
White,screw conveyor,Big Joe,6/1/24,1,6/2/24,1,100.00%,
Winland Farms,Cablevey,Sebastian,6/9/24,3,6/11/24,0,0.00%,
Uncommon Grounds,Outlet Pipe,Big Joe,5/31/24,1,5/31/24,0,0.00%,
Uncommon Grounds,Roaster start up,Sebastian,6/3/24,1,6/4/24,0,0.00%,
Duane,Sebastian Off,Sebastian,5/16/24,4,5/20/24,4,100.00%,
Duane,Sebastian Off,Sebastian,7/22/24,15,8/9/24,0,0.00%,
